,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-13087628.495519,-7933846.16555,-3662985.847749,10908549.305384
Tax Rate For Calcs,0.141332,0.11998,0.103932,0.118825
Normalized EBITDA,6175030118.89,2242912657.42,1507700908.45,1493501866.98
Total Unusual Items,-92602193.89,-66126642.23,-35243925.01,91803661.0
Total Unusual Items Excluding Goodwill,-92602193.89,-66126642.23,-35243925.01,91803661.0
Net Income From Continuing Operation Net Minority Interest,4311988274.4,1154431097.85,671346370.08,790645750.25
Reconciled Depreciation,922934462.83,754531997.61,637943189.58,597017323.7
Reconciled Cost Of Revenue,12496889291.87,8292806705.86,6287951380.48,6454189847.37
EBITDA,6082427925.0,2176786015.19,1472456983.44,1585305527.98
EBIT,5159493462.17,1422254017.58,834513793.86,988288204.28
Net Interest Income,-117982241.04,-99294611.22,-65045911.2,-83358518.56
Interest Expense,137777349.45,110430950.99,85299813.83,91025404.26
Interest Income,24510271.77,14328394.04,23126141.75,10041274.23
Normalized Income,4391502839.794481,1212623893.91445,702927309.242251,709750638.555384
Net Income From Continuing And Discontinued Operation,4311988274.4,1154431097.85,671346370.08,790645750.25
Total Expenses,14048360276.07,9364501814.86,7124246205.89,7139110326.76
Total Operating Income As Reported,5056700918.0,1288340744.51,758931905.47,906230620.51
Diluted Average Shares,862397655.0,861515745.0,860700474.0,859397555.0
Basic Average Shares,860676302.0,861515745.0,860700474.0,859397555.0
Diluted EPS,5.0,1.34,0.78,0.92
Basic EPS,5.01,1.34,0.78,0.92
Net Income Common Stockholders,4311988274.4,1154431097.85,671346370.08,790645750.25
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4311988274.4,1154431097.85,671346370.08,790645750.25
Net Income Including Noncontrolling Interests,4311988274.4,1154431097.85,671346370.08,790645750.25
Net Income Continuous Operations,4311988274.4,1154431097.85,671346370.08,790645750.25
Tax Provision,709727838.32,157391968.74,77867609.95,106617049.77
Pretax Income,5021716112.72,1311823066.59,749213980.03,897262800.02
Other Non Operating Income Expenses,-34984805.28,23482322.08,-9788839.99,-8967820.49
Special Income Charges,-92602193.89,-62636424.74,-37661006.93,91596662.92
Other Special Charges,22305093.68,47603669.64,6197240.1,3774127.2
Write Off,36415242.38,-8586285.09,15328953.45,-124315066.79
Impairment Of Capital Assets,33881857.83,23619040.19,16134813.38,28944276.67
Net Non Operating Interest Income Expense,-117982241.04,-99294611.22,-65045911.2,-83358518.56
Total Other Finance Cost,4715163.36,3192054.27,2872239.12,2374388.53
Interest Expense Non Operating,137777349.45,110430950.99,85299813.83,91025404.26
Interest Income Non Operating,24510271.77,14328394.04,23126141.75,10041274.23
Operating Income,5243953181.29,1366967675.02,807001401.13,746044271.04
Operating Expense,1551470984.2,1071695109.0,836294825.41,684920479.39
Other Operating Expenses,89222294.85,76910464.72,62179644.52,57689299.83
Depreciation And Amortization In Income Statement,102712975.4,89282485.52,47407776.12,41801464.64
Amortization,41226431.04,32253669.62,5839356.4,5408894.32
Depreciation Income Statement,61486544.36,57028815.9,41568419.72,36392570.32
Research And Development,777643427.06,449826528.15,348303603.62,287484184.09
Selling General And Administration,243595763.03,209239259.08,173589803.53,129897428.35
Selling And Marketing Expense,74265545.95,71095611.29,61661799.26,47731504.41
General And Administrative Expense,169330217.08,138143647.79,111928004.27,82165923.94
Gross Profit,6795424165.49,2438662784.02,1643296226.54,1430964750.43
Cost Of Revenue,12496889291.87,8292806705.86,6287951380.48,6454189847.37
Total Revenue,19292313457.36,10731469489.88,7931247607.02,7885154597.8
Operating Revenue,19292313457.36,10731469489.88,7931247607.02,7885154597.8
